Hawaii | I'm fine, Hawaii you?
Voodoo | Voodoo you think you are, asking me so many questions?
Nana | Nana your business
Hatch | God bless you
Mustache | Mustache you a question, but I'll shave it for later
Amish | Really? You don't look like a shoe
Gorilla | Gorilla me a hamburger
Tank | You're welcome
Turnip | Turnip the volume, I love this song!
Adore | Adore is between us Open up!
Daisy! | Daisy me rollin, they hatin'
Aida | Aida sandwich for lunch today
Cargo | No, car go "beep beep"!
Icing | Icing so loud, the neighbors can hear
Alpaca | Alpaca the trunk, you pack the suitcase
Cereal | Cereal pleasure to meet you!
A little old lady | Dang! All this time, I had no idea you could yodel
Keith! | Keith me, my thweet preenth!
Lettuce | Lettuce in it's cold out here!
Oswald | Oswald my bubble gum!
Boo | Hey, don't cry!
Boo | Hey, don't cry!
An extraterrestrial | Wait, how many extraterrestrials do you know?
Police | Police stop telling these awful knock knock jokes!
Candice | Candice door open or what?
Control Freak | Okay, now you say, "Control Freak who?!"
Theodore! | Theodore wasn't open so I knocked
Yah | No thanks, I use Bing or Google
Snow | Snow use I forgot my name again!
Robin | Robin you, now hand over the cash!
Pecan! | Pecan somebody your own size!
Dwayne | Dwayne the bathtub already I'm drowning!
Annie | Annie way you can let me in now?
Cantaloupe! | Cantaloupe to Vegas, our parents would get mad
Spell | Okay, fine W-H-O
Water | Water those plants or they're going to die!
Euripides | Euripides jeans, you pay for 'em
Closure | Closure mouth while you're chewing!
Cash | No thanks, but I'd love some peanuts!
Olive | Olive you and I don't care who knows it!
Tyrone | Tyrone shoelaces!
Figs! | Figs the doorbell, it's broken!
Figs! | Figs the doorbell, it's broken!
Ho-ho | You know, your Santa impression could use a little work
Yacht | Yacht to know me by now!
Dishes | Dishes a nice place you got here
Mikey! | Mikey doesn't fit in the keyhole!
Owls say | Yes, they do
Déja | Knock knock!
Knock knock | Mike Snifferpippets
Sherlock | Sherlock your door tight
Rhino! | Rhino every knock knock joke there is!
Goliath | Goliath down, thou looketh tired!
Leena | Leena little close and I will tell you!
Juno | Juno I love you, right?
Witches | Witches the way to the store
To | It's to
Broken pencil | Never mind, there's no point!
Ice Cream Soda | Ice Cream Soda whole neighborhood can hear!
Zany | Zany body home?
Zany | Zany body home?
Teresa | Teresa are green!
Iran | Iran over here to tell you this!
Dozen | Dozen anybody want to let me in?!
Amanda | Amanda fix your sink!
Nun | Nun your business!
Jess | Jess cut the talking and open the door!
Me | Having an identity crisis, are you?
Hatch | Bless you!
Zoom | Zoom did you expect!
FBI | We're asking the questions here
Mikey | Mikey got lost; open up!
Ben | Ben hoping I can come in!
Cook | Yeah, you do sound crazy!
Noise | Noise to see you!
Noah | Noah good place we can go get lunch?
Noah | Noah good place we can go get lunch?
Leaf | Leaf me alone!
Aaron | Why Aaron you opening the door?
Orange | Orange you even going to open the door!
Woo | Don't get so excited, it's just a joke
Yukon | Yukon say that again!
Amarillo | Amarillo nice guy
Andrew! | Andrew a picture!
Armageddon | Armageddon a little bored Let's go out
Bruce | I Bruce easily, don't hit me !
Butter | Butter be quick, I have to go to the bathroom!
Bed | Bed you can't guess who I am!
CD | CD guy on your doorstep?
Cows go | No, silly Cows go "moo!"
Dishes! | Dishes the Police come out with your hands up
Interrupting doctor | You've got cancer
Ears | Ears another knock knock jokes for you!
Ferdie! | Ferdie last time open this door!
Iona | Iona new car!
Ivor | Ivor you let me in or I'll climb through the window
Keanu | Keanu let me in, it's cold out here !
Kanga | Actually, it's kangaroo!
Luke | Luke through the the peep hole and find out
A little boy | A little boy who can't reach the doorbell
Lion | Lion on your doorstep, open up!
